xcorr(cm),x(cm),z(cm),U_ut (-mV)
0,15.5,0,31.1
2,13.5,5,30.1
4,11.5,10,22.1
6,9.5,15,14.3
8,7.5,20,8.6
10,5.5,25,5
12,3.5,30,2.8
,,35,1.6
,,40,0.9
,,,
,,,31.2
,,,30.3
,,,21.8
,,,14
,,,8.5
,,,5.1
,,,2.9
,,,1.6
,,,0.9
,,,
,,,32.5
,,,31.5
,,,22
,,,13.3
,,,8.2
,,,4.8
,,,2.7
,,,1.6
,,,0.9
,,,
,,,34.6
,,,32.6
,,,21.7
,,,13.2
,,,7.7
,,,4.7
,,,2.8
,,,1.6
,,,0.9
,,,
,,,37.7
,,,37
,,,22.2
,,,12.8
,,,7.5
,,,4.5
,,,2.7
,,,1.6
,,,0.9
,,,
,,,
,,,43.5
,,,42.1
,,,21.4
,,,11.5
,,,6.9
,,,4.2
,,,2.6
,,,1.5
,,,0.9
,,,
,,,52
,,,47.3
,,,18.8
,,,10
,,,6
,,,3.8
,,,2.4
,,,1.5
,,,0.9